RO3XAC34Y9,QPMU7IV1LB684KVU5SPT,174236660306367877001862998176,20220311,40876731642362.3712,7127194504620854486081845700323788.0250
HXMPC2WDLY,76D19N9MWWMT6V6RYATD,246833897318238859129661154372,20220311,29994844227464.7682,6882754830295878919368374566675779.9215
WV6ZXLOLY0,Y51BSGGD0GZ6LX6IL184,983819188105074095183009179145,20220311,26428519482694.9458,9786034036176505098938300035465974.4680
9T1RPBUGSV,UFQQ7HSMQV0940GKZFUT,545804245298194127153125064854,20220311,9877363777494.3429,4303885510988453637355983140185125.9719
8G1FK3QU8L,A7L6FHF5JKQM82M4SX7S,503517065296739920320757700977,20220311,56014037836419.0730,205416241030549873151050267589631.5256
Z93ZHNTOPW,MHDVJGDERE0N4OSHV547,558246421351846490637129258961,20220311,57975045937730.3141,5997983598620153025767374998205834.1946
ZLHV013XKV,0K5118YY07RZ0NCVJGTQ,636963370628188645749736905653,20220311,27549416638801.4080,608561055667883226309535474960700.5631
3Z0WQXLDDM,7GOHJGF7XW3XI0BMOQJ2,226375971094048360810444010561,20220311,17092037153110.6182,9399107957207399336537864476125828.7604
I0TN9HCKYE,TM9DSXFB7XYUAS5MZM8I,247833060123398450301641844508,20220311,35935014949260.8631,6133895799559363112108497554738064.7275
4T3XEL5T30,FJ9JR46ZBM7ZKMPR6AIH,238500954820940716108346568104,20220311,89460778900700.5800,2379685845153286568958742069210061.5810
CC756UEHI5,SF7R0G01S9H8OSUDP8FW,922264024336279861694153409296,20220311,49236771428203.1371,1494375717658524115226239832269440.1905
VN92YFFS1K,4SM4K98U5GTIOC6ZV174,575245053761731295885427447761,20220311,54738446119058.8171,4692205730333891193255199944620364.6356
TPXOUZDONM,Q0CE623SS62VCY4QLUXM,255962917679391948993258122194,20220311,53089446867745.8332,8006984912165313941437913274946271.2845
7CZLPACW6G,0GIGR9NJ0B45N4E2F4A2,281912689127907010047765338615,20220311,47056304246621.3764,9124892765931260899215225871500024.2570
QRHB60B4MA,JAZHE2SM6YIRNQDYJWDF,214481338551710306482524589686,20220311,14744938673609.3467,6215693071374046952979761946830418.3350
QW2M8R65M0,TSXPVHRI88B1DHYS0UX7,589788576377172134767443376185,20220311,59865412367179.0061,2024336201176363904113210736230192.0334
U2EMK9GQA1,LFSAZYDHFL77EXMFU1YP,53949615117542366113342870453,20220311,99470027471629.3081,6140711913866664524167129511194355.0793
SGMCULHDZV,XJAS2SDVTMG32AXMHB4V,232119947537525379392384828620,20220311,78930920154264.8663,3397972386130676229945151535544187.2969
7XO775PF78,NUWIZG2VQ2MKB5M6CXK5,5778526659182404535253000770,20220311,15644935086090.4588,6706873494309303939959025255184099.6401
9BL2E950ZA,G03T8XKH15H30OADJRN8,75170479782654730779951388412,20220311,26342000189803.6955,7829770494201298053624637569154745.0536
24YHNJU5ND,7UK3NFK4KX1234XWLKBE,350945682749162484389177589586,20220311,73374258656405.1782,5317462381707895047257648722773404.7357
PW0VUXXWV4,QXOPJCP55BDIRSYQKC6R,49549826670062762783946240620,20220311,72848650745069.6554,406884930836702020163153008117578.5070
9Q6E704YRK,9DFGQJGIDJANO5PCZI0I,845415468084246087380490208457,20220311,2998476068004.3827,2313574146396508858821396448919753.8035
2HJ1758SFH,0SJBVF9UKL3YGYR5ORW4,646683774401515988063185147157,20220311,32975499568097.8961,3511068567842440478311460447067410.9067
S034T3JZ4O,48829VN6RUJG5HJH3SAZ,988888167684014435308353736440,20220311,3570962758254.8511,4304653615960961344187612236254463.3948
0PSRXC7W2E,I45TBI17DBYQTH3VYHI2,222203391200768678313369856885,20220311,86283244154574.5913,2992248252334413582437283199937682.8018
4JLI62I9I9,6YF3ZZ3J4LP105BHBNPH,216475266093254655719221058719,20220311,55040051944684.5751,8429893507194060861481354389627632.2409
DEZX3A983F,1XIIVN8YAMJTBXLA0Z1I,698979240056850619819892437379,20220311,31461444518062.1539,1860795336375827480783645805444406.5174
XAJGBNHPMY,W6JT3ABO7M0ZL4E3CE88,548398307001577818009048011966,20220311,77666105710446.5852,6676219163219851057336519793432084.1025
VDDJL808II,TW00FF1YVNUY7X5PIJBQ,684816680980752967473616087604,20220311,60945653637454.0337,5584232220895507366634097070833988.6198
MZUSLF2FTN,6XJAO2THPXAKU46NCV34,780018542202135163245607289808,20220311,19058272024791.1524,3939586944010366640789216963179269.3115
YGWI406384,PAF94CYLRYXO9MMZ0K74,494140927471663736880166671988,20220311,5035154009541.5565,4140431616515132916259648519196485.1579
S2IIYWCVH4,6490PMZY5ST6IFT615W3,428488551988990546618147974420,20220311,99055762262757.5147,652959553186850297797522266396469.0662
BJDIVCLPGD,XEYJPFWKUJ8C71PY6MQ5,72055639430109755037969227972,20220311,99656450807012.5474,725899907543093454052865358191829.8849
SN5CKOZIHC,Z9KCAW78J6I2I8O716RG,987015135871569545450288696058,20220311,56996186341712.7515,4271906112084583460430825794598350.6272
ZO3UZ1H9P4,J4LOYJ0DVNJZYLG2YC2W,947456573717314819368963745002,20220311,62774069349095.8479,2059290397649494304944413684381942.8763
ASWDRC64G7,GUTEAZSOTJIZLEWPQQC5,238999945710412523591351283801,20220311,88346773654407.6859,9619019744053304465334762164537521.4522
94ZXX1QKUQ,YAV6QVZ3R4FBSXQKDJ1I,344936677907887224431984884089,20220311,13760466695408.5231,5272407306755768316300179707733705.0615
FV0WL9G3TP,DDCYF7XMXUIPSNBWP4CY,24891979562813259009956814612,20220311,89138413989760.9770,2345188879060689704137240912919760.0649
YO6NLPQ4KD,65O80FYXQD39SOQEUR3A,250512999113529540475541892483,20220311,77271876054759.0595,7334924138494426617564130725710751.3303
1R83EOZ5HR,8HVHDP1JR2DQQ6MMGA2N,771824113399643799370544515432,20220311,46364433830532.3901,9334581770608006436502050971170983.7655
XTR78BVSNL,I04SPKJQD5488MU64VZ5,833716390260534046328612645109,20220311,68037551752648.3120,955117398994979589536222333295043.6876
